distance_to_city_center,hotel_address,hotel_link,hotel_name,image_link,lowest_price_per_night,lowest_seller,major_price_per_night,major_seller,major_total_price,minor_price_per_night,minor_seller,minor_total_price,num_of_ratings,num_of_stars,rating
0.3 miles to City center,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=15173620/100&hasList=1&hasMap=0&sharedcid=15173620&tab=info,NH Collection Roma Fori Imperiali,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/15/17/15173620_v4.jpeg",305,Agoda,341,NH Collection,1364,341,Booking.com,1364,44,5,8.9
1.2 miles to St Peters Basilica,"Via Pio IV 6, 00165, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17195/100&hasList=1&hasMap=0&sharedcid=17195&tab=info,NH Roma Villa Carpegna,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/19/17195_v5.jpeg",106,Agoda,122,NH Hotels,487,341,Booking.com,1364,2735,4,8.9
1.0 miles to Colosseum,"Piazza della Rotonda 73, 00186, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17023/100&hasList=1&hasMap=0&sharedcid=17023&tab=info,Hotel Albergo Del Senato,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/02/17023_v10.jpeg",130,Hotel Website,130,Hotel Website,519,341,Booking.com,1364,1999,3,8.9
0.9 miles to Colosseum,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=45317/100&hasList=1&hasMap=0&sharedcid=45317&tab=info,Anantara Palazzo Naiadi Rome Hotel,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/45/31/45317_v5.jpeg",360,Anantara Hotels Resorts Spas,360,Anantara Hotels Resorts Spas,1438,341,Booking.com,1364,911,5,8.9
0.7 miles to Colosseum,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=16924/100&hasList=1&hasMap=0&sharedcid=16924&tab=info,California,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/16/92/16924_v7.jpeg",85,Agoda,87,Booking.com,346,341,Booking.com,1364,1395,3,8.9
0.9 miles to Colosseum,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=4897876/100&hasList=1&hasMap=0&sharedcid=4897876&tab=info,NH Collection Palazzo Cinquecento,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/48/97/4897876_v2.jpeg",205,Stayforlong,224,NH Collection,896,341,Booking.com,1364,1321,5,8.9
3.6 miles to Colosseum,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17466/100&hasList=1&hasMap=0&sharedcid=17466&tab=info,Quality Hotel Rouge et Noir,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/46/17466_v9.jpeg",24,BookingBargains,45,Booking.com,180,341,Booking.com,1364,2324,4,8.9
1.0 miles to Colosseum,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17236/100&hasList=1&hasMap=0&sharedcid=17236&tab=info,The St. Regis Rome,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/23/17236_v8.jpeg",508,Booking.com,508,Booking.com,2033,341,Booking.com,1364,925,5,8.9
1.3 miles to Colosseum,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17273/100&hasList=1&hasMap=0&sharedcid=17273&tab=info,Marcella Royal Hotel,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/27/17273_v9.jpeg",88,Stayforlong,102,Booking.com,408,341,Booking.com,1364,3861,4,8.9
1.0 miles to Colosseum,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=5529940/100&hasList=1&hasMap=0&sharedcid=5529940&tab=info,Hotel 87 EightySeven,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/55/29/5529940_v1.jpeg",72,Agoda,77,Booking.com,307,341,Booking.com,1364,1198,4,8.9
1.0 miles to Colosseum,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=3809738/100&hasList=1&hasMap=0&sharedcid=3809738&tab=info,La Residenza Del Sole Al Pantheon,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/38/09/3809738_v2.jpeg",200,Expedia,222,Hotel Website,887,341,Booking.com,1364,124,,8.9
1.1 miles to St Peters Basilica,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=5070118/100&hasList=1&hasMap=0&sharedcid=5070118&tab=info,Fendi Private Suites,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/50/70/5070118.jpeg",704,Hotels.com,775,Hotel Website,3099,341,Booking.com,1364,133,,8.9
1.8 miles to City center,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=11261528/100&hasList=1&hasMap=0&sharedcid=11261528&tab=info,San Giovanni Roma,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/11/26/11261528_v3.jpeg",75,Stayforlong,118,Booking.com,471,341,Booking.com,1364,141,4,8.9
0.8 miles to Colosseum,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17432/100&hasList=1&hasMap=0&sharedcid=17432&tab=info,"Radisson Blu es. Hotel, Rome","https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/43/17432_v8.jpeg",125,Stayforlong,125,Stayforlong,502,341,Booking.com,1364,1993,5,8.9
0.0 miles to City center,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=18069790/100&hasList=1&hasMap=0&sharedcid=18069790&tab=info,Stay Lodge Rome,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/18/06/18069790_v2.jpeg",56,Booking.com,56,Booking.com,224,341,Booking.com,1364,7,,8.9
1.8 miles to St Peters Basilica,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17006/100&hasList=1&hasMap=0&sharedcid=17006&tab=info,Crowne Plaza Rome - St. Peter's,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/00/17006_v14.jpeg",106,Stayforlong,120,Booking.com,481,341,Booking.com,1364,3729,4,8.9
0.7 miles to St Peters Basilica,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=3229758/100&hasList=1&hasMap=0&sharedcid=3229758&tab=info,Vaticano Royal Suite,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/32/29/3229758_v2.jpeg",75,Stayforlong,75,Stayforlong,298,341,Booking.com,1364,76,,8.9
0.3 miles to City center,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=5795326/100&hasList=1&hasMap=0&sharedcid=5795326&tab=info,Rocco Forte Hotel De La Ville,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/57/95/5795326_v1.jpeg",590,Stayforlong,605,Hotelwiz,2420,341,Booking.com,1364,32,5,8.9
1.1 miles to St Peters Basilica,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=4896296/100&hasList=1&hasMap=0&sharedcid=4896296&tab=info,Le Coq Rooms&Suite,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/48/96/4896296_v1.jpeg",61,Expedia,76,Booking.com,303,341,Booking.com,1364,70,,8.9
0.3 miles to St Peters Basilica,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17024/100&hasList=1&hasMap=0&sharedcid=17024&tab=info,Hotel Della Conciliazione,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/02/17024_v9.jpeg",114,ZenHotels.com,129,Booking.com,515,341,Booking.com,1364,969,4,8.9
0.8 miles to St Peters Basilica,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17193/100&hasList=1&hasMap=0&sharedcid=17193&tab=info,NH Collection Roma Centro,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/19/17193_v16.jpeg",94,Agoda,136,NH Collection,545,341,Booking.com,1364,1247,,8.9
0.6 miles to Colosseum,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17146/100&hasList=1&hasMap=0&sharedcid=17146&tab=info,Hotel Giolli Nazionale,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/14/17146_v13.jpeg",109,Stayforlong,120,Booking.com,479,341,Booking.com,1364,348,4,8.9
1.1 miles to Colosseum,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17050/100&hasList=1&hasMap=0&sharedcid=17050&tab=info,Domus Mea,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/05/17050_v4.jpeg",98,Stayforlong,98,Stayforlong,393,341,Booking.com,1364,233,3,8.9
0.5 miles to St Peters Basilica,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=16844/100&hasList=1&hasMap=0&sharedcid=16844&tab=info,Hotel Alessandrino,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/16/84/16844_v5.jpeg",44,Stayforlong,69,Booking.com,277,341,Booking.com,1364,1277,3,8.9
0.8 miles to St Peters Basilica,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=1639909/100&hasList=1&hasMap=0&sharedcid=1639909&tab=info,Navona Tower Relais,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/16/39/1639909_v6.jpeg",78,Expedia,95,Hotel Website,380,341,Booking.com,1364,436,,8.9
0.6 miles to St Peters Basilica,"Via Virgilio 1 E/F/G, 00193, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=926789/100&hasList=1&hasMap=0&sharedcid=926789&tab=info,NH Collection Giustiniano,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/92/67/926789_v12.jpeg",122,Stayforlong,151,NH Collection,606,122,Stayforlong,488,1730,4,8.7
0.6 miles to Colosseum,"Via Ventiquattro Maggio 8, 00187, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17165/100&hasList=1&hasMap=0&sharedcid=17165&tab=info,Hotel Hiberia,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/16/17165_v4.jpeg",63,Agoda,72,Booking.com,290,122,Stayforlong,488,1394,3,8.7
4.5 miles to Colosseum,"Via Laurentina 554, 00143, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=16856/100&hasList=1&hasMap=0&sharedcid=16856&tab=info,Hotel American Palace Eur,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/16/85/16856_v16.jpeg",59,Prestigia,76,Booking.com,305,122,Stayforlong,488,857,4,8.7
1.8 miles to St Peters Basilica,"Via Giuseppe De Notaris 5, 00197, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17251/100&hasList=1&hasMap=0&sharedcid=17251&tab=info,Lord Byron,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/25/17251_v3.jpeg",174,Hotels.com,174,Hotels.com,697,122,Stayforlong,488,1607,5,8.7
0.8 miles to Colosseum,"Via Principe Amedeo 5/B, 00185, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17576/100&hasList=1&hasMap=0&sharedcid=17576&tab=info,Best Western Hotel Universo,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/57/17576_v4.jpeg",90,Stayforlong,123,Booking.com,493,122,Stayforlong,488,1697,4,8.7
0.8 miles to Colosseum,"Via Emanuele Filiberto 173, 00185, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17414/100&hasList=1&hasMap=0&sharedcid=17414&tab=info,Best Western Hotel President,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/41/17414_v5.jpeg",79,Stayforlong,79,Stayforlong,316,122,Stayforlong,488,1422,4,8.7
2.0 miles to International Airport Roma Ciampino,"Via Lucrezia Romana 95, 00178, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17142/100&hasList=1&hasMap=0&sharedcid=17142&tab=info,Hotel Giardino D'Europa,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/14/17142_v13.jpeg",52,Agoda,59,Booking.com,235,122,Stayforlong,488,462,3,8.7
0.9 miles to Colosseum,"Via del Corso, 330, 00186, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17440/100&hasList=1&hasMap=0&sharedcid=17440&tab=info,Hotel Regno,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/44/17440_v5.jpeg",145,Stayforlong,145,Stayforlong,578,122,Stayforlong,488,864,3,8.7
1.2 miles to Colosseum,"Via Marghera 51, 00185, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17468/100&hasList=1&hasMap=0&sharedcid=17468&tab=info,Royal Court,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/46/17468_v7.jpeg",42,BookingBargains,43,Stayforlong,171,122,Stayforlong,488,988,4,8.7
1.0 miles to St Peters Basilica,"Via dei Pettinari 64, 00186, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17406/100&hasList=1&hasMap=0&sharedcid=17406&tab=info,Hotel Ponte Sisto,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/40/17406_v8.jpeg",115,Stayforlong,162,Booking.com,649,122,Stayforlong,488,1672,4,8.7
1.1 miles to Colosseum,"Via Magenta, 15, 00185, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=396426/100&hasList=1&hasMap=0&sharedcid=396426&tab=info,Yes Hotel Rome,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/39/64/396426_v8.jpeg",81,Agoda,88,Booking.com,352,122,Stayforlong,488,1776,3,8.7
0.2 miles to Colosseum,"Via Labicana, 125, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17017/100&hasList=1&hasMap=0&sharedcid=17017&tab=info,Palazzo Manfredi,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/01/17017_v21.jpeg",371,Stayforlong,383,Booking.com,1532,122,Stayforlong,488,723,5,8.7
1.2 miles to Colosseum,"Piazza Trinità dei Monti 6, 00187, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17163/100&hasList=1&hasMap=0&sharedcid=17163&tab=info,Hotel Hassler Roma,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/16/17163_v9.jpeg",560,Stayforlong,560,Stayforlong,2240,122,Stayforlong,488,245,5,8.7
1.1 miles to Colosseum,"Via Volturno 40, 00185, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=3523650/100&hasList=1&hasMap=0&sharedcid=3523650&tab=info,The Independent Suites,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/35/23/3523650_v8.jpeg",114,Stayforlong,114,Stayforlong,455,122,Stayforlong,488,150,4,8.7
0.8 miles to Colosseum,"Via Giovanni Amendola 57, 00185, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=950631/100&hasList=1&hasMap=0&sharedcid=950631&tab=info,Unahotels Decò Roma,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/95/06/950631_v4.jpeg",113,Agoda,143,Booking.com,573,122,Stayforlong,488,2055,4,8.7
0.9 miles to Colosseum,"Piazza Della Minerva, 69, 00186, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17156/100&hasList=1&hasMap=0&sharedcid=17156&tab=info,Grand Hotel De La Minerve,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/15/17156_v5.jpeg",234,Stayforlong,234,Stayforlong,935,122,Stayforlong,488,1034,5,8.7
0.8 miles to St Peters Basilica,"Via Cola di Rienzo 23, 00192, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=1075622/100&hasList=1&hasMap=0&sharedcid=1075622&tab=info,Hotel Twentyone,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/10/75/1075622_v5.jpeg",85,Stayforlong,85,Stayforlong,338,122,Stayforlong,488,1866,4,8.7
1.4 miles to Colosseum,"Via Campania, 41, 00187, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17586/100&hasList=1&hasMap=0&sharedcid=17586&tab=info,Hotel Victoria Roma,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/58/17586_v5.jpeg",142,Stayforlong,142,Stayforlong,567,122,Stayforlong,488,1259,4,8.7
0.1 miles to City center,"Via Dei Crociferi 26, 00187, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=5892782/100&hasList=1&hasMap=0&sharedcid=5892782&tab=info,59 Steps Trevi,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/58/92/5892782.jpeg",46,Hotels.com,51,Stayforlong,204,122,Stayforlong,488,337,,8.7
